"lung","heart","liver","spleen","kidney","testes"
.9695,1.352002,8.185496,.2255002,1.348003,.3415002
1.141003,1.499403,8.544507,.2704998,1.322103,.417
.872,1.268503,6.823009,.04999999,.897001,1.220002
.7399,1.270203,9.067509,.1129998,1.278003,.8145
1.139302,1.496203,9.621993,.1198,1.415003,1.156803
1.125603,1.191403,9.743209,.1392999,1.340502,1.359901
.3672,.6986,2.726603,.04780001,.8199,.7769999
.3227,.4193,1.744202,.0448,.8224,.9318
.4972,.4134,2.661703,.05679996,1.069703,2.050302
.5366,.5298,3.262105,.07510003,.9601,1.518802
.5219,.602,3.623106,.07010001,1.163503,1.546403
.4291,.423,2.077603,.03830002,.8199,.5037998
.5354,.5129,2.860803,.07449996,.9825,1.524502
.4529,.5715,2.809303,.05590002,1.007403,1.705102
.6532,.5187,3.602503,.0604,1.075103,.9449
.9191,.5479,2.863604,.06870004,.9596,1.558703
.562,.5001,2.925701,.07800007,.9589,1.644901
.5362,.9423,2.697404,.05430002,1.079703,.9054
.5516,.795,2.746604,.06569994,1.010103,1.486202
.5789,.5051,3.127104,.07550001,1.079803,1.486202
.6553,.5999,3.496802,.04360005,1.197603,1.976603
.5613,1.034402,3.110803,.06679994,1.213102,.6553999
.537,.7446,2.678003,.04500005,1.042603,.7566001
.622,.9023,8.307091,.09969997,1.368603,1.573803
.7738,.7628,3.797205,.06849992,1.062903,.3205
1.050003,.8981,4.897698,.08209997,1.011903,1.282603
.8416,1.509403,7.492797,.1739001,1.317103,.9792
.8739,.6723,2.636605,.05360002,1.098303,.8226
.826,.9604,12.80401,.1192998,1.593303,1.767403
.7589,.948301,5.390897,.08279994,1.187203,.6387001
1.177802,1.369203,8.125891,.1375998,1.353802,.4926
1.011903,1.208003,7.187204,.07839998,1.433803,.8316
.982,1.286003,7.924502,.1193999,1.639603,.7628001
.6657,1.069003,4.402304,.07520002,1.213102,.5850999
.619,1.000202,8.025905,.1056,1.563803,.8996001
.7849,1.116703,5.919895,.09520001,1.258203,.6602
.5092,.8698,3.264904,.08759999,1.348203,.4348
.5687,.8791,3.602301,.1795998,1.177203,.7477001
1.436403,.9932,8.207502,.1187,1.316503,.9811
1.072503,.9484,6.973599,.1042999,1.469303,.5630001
1.162603,1.274603,11.9148,.1072,1.499902,1.469802
.965,1.545003,6.542504,.1062001,1.267703,.4769
1.023903,1.078903,8.109611,.1424,1.401202,1.068703
.3216,.4987,1.626402,.02930003,.8252,.3167999
1.165302,1.630003,7.089703,.1443999,1.288403,.5631999
.8532,1.143903,4.012001,.07689994,1.227103,.6454
.6354,.894,2.687701,.0463,.993901,.3993
.6489,1.239403,8.776109,.1144998,1.426202,.7717
.962,.8039,3.457602,.07130008,1.164603,1.408802
.7959,1.038503,8.385019,.1989999,1.313503,1.303803
.8099,1.154303,7.531301,.05950001,1.386703,.3812001
.9824,1.490302,7.935294,.1567,1.364203,.3082003
.9592,1.095003,15.4923,.2959,1.437803,1.447604
.9596,1.276303,10.99881,.1617,1.339402,1.348003
1.119403,1.441502,5.982903,.1308,1.135903,2.188503
1.074803,1.171402,8.613209,.1283,1.237903,2.237203
.9364,1.249602,7.538102,.1604999,1.179503,.9662
.8353,1.142502,5.361403,.1214999,1.162503,2.281802
1.104002,1.524003,12.1655,.2684998,1.393303,2.424403
1.094503,1.369403,9.444088,.1043998,1.323403,1.754702
1.140603,1.791703,12.37502,.1440001,1.478303,1.486003
.7722,1.181203,5.571409,.08960001,1.169303,1.251603
1.026003,1.536402,2.956805,.05679996,1.303103,1.146901
1.460203,1.839003,6.439201,.06280006,1.229103,1.715003
.8891,1.629503,12.18871,.1330001,1.708203,.9761
1.652102,1.086903,4.894001,.07389993,1.140003,1.114102
.81,1.176503,9.974107,.1214,1.249303,1.983701
1.191803,1.772203,8.265707,.1659999,1.738103,1.751902
.7237,.9394,2.631203,.04209999,1.030402,.4890002
.8385,1.301503,8.527997,.06639999,1.369103,.7546
1.066703,1.035703,8.8597,.1018999,1.369603,.5868999
.975,1.046203,7.803905,.05679996,1.144302,.485
1.005203,1.015003,5.739195,.09500008,.8968,.4387
