"time","algorithm","machine","input"
1.25,"7th","vax","integer"
1.39,"7th","vax","float"
1.78,"7th","vax","double"
3.24,"7th","vax","record"
2.48,"7th","vax","pointer"
3.89,"7th","vax","string"
.8,"ucb","vax","integer"
.89,"ucb","vax","float"
1.23,"ucb","vax","double"
2.01,"ucb","vax","record"
2.1,"ucb","vax","pointer"
2.82,"ucb","vax","string"
.57,"new","vax","integer"
.68,"new","vax","float"
.88,"new","vax","double"
.88,"new","vax","record"
1.7,"new","vax","pointer"
1.62,"new","vax","string"
.97,"7th","mips","integer"
.96,"7th","mips","float"
1.67,"7th","mips","double"
3.89,"7th","mips","record"
1.36,"7th","mips","pointer"
4.17,"7th","mips","string"
.53,"ucb","mips","integer"
.56,"ucb","mips","float"
1.01,"ucb","mips","double"
2.2,"ucb","mips","record"
.93,"ucb","mips","pointer"
2.31,"ucb","mips","string"
.17,"new","mips","integer"
.21,"new","mips","float"
.27,"new","mips","double"
.28,"new","mips","record"
.52,"new","mips","pointer"
.45,"new","mips","string"
