"northing","easting","resistivity","is.ns","track"
.018,.016,34.15,0,"1"
.0178,.0252,34.81,0,"1"
.0176,.0345,35.65,0,"1"
.0174,.0437,36.44,0,"1"
.0171,.052899999999999996,37.1,0,"1"
.0169,.0621,37.53,0,"1"
.0167,.0714,37.58,0,"1"
.0165,.08059999999999999,37.41,0,"1"
.016300000000000002,.08979999999999999,37.57,0,"1"
.0161,.0991,38.33,0,"1"
.0159,.1083,39.32,0,"1"
.0156,.1175,39.93,0,"1"
.0154,.1268,40.02,0,"1"
.0152,.136,39.73,0,"1"
.015,.1452,39.09,0,"1"
.0148,.1544,37.95,0,"1"
.0146,.16369999999999998,36.45,0,"1"
.0144,.1729,35.17,0,"1"
.014199999999999999,.18209999999999998,34.57,0,"1"
.013900000000000001,.19140000000000001,34.51,0,"1"
.013699999999999999,.2006,34.4,0,"1"
.0135,.20980000000000001,33.91,0,"1"
.013300000000000001,.219,33.4,0,"1"
.013099999999999999,.2283,33.61,0,"1"
.0129,.2375,34.73,0,"1"
.0127,.24669999999999997,36.19,0,"1"
.0124,.256,37.31,0,"1"
.012199999999999999,.2652,38.17,0,"1"
.012,.2744,39.37,0,"1"
.011800000000000001,.2836,41.09,0,"1"
.0116,.2929,42.71,0,"1"
.0114,.30210000000000004,43.44,0,"1"
.0112,.3113,43.06,0,"1"
.011,.3206,42.24,0,"1"
.0108,.32980000000000004,41.96,0,"1"
.0105,.339,42.53,0,"1"
.0103,.3483,42.84,0,"1"
.0101,.3575,41.35,0,"1"
.0099,.36669999999999997,37.98,0,"1"
.009699999999999999,.376,34.38,0,"1"
.0095,.3852,32.17,0,"1"
.009300000000000001,.3944,31.38,0,"1"
.009,.4036,31.02,0,"1"
.0088,.4129,30.31,0,"1"
.0086,.42210000000000003,29.23,0,"1"
.008400000000000001,.4313,28.49,0,"1"
.008199999999999999,.4405,29.55,0,"1"
.008,.44980000000000003,33.97,0,"1"
.0078,.459,42.02,0,"1"
.0076,.4682,51.79,0,"1"
.0073,.4775,59.91,0,"1"
.0070999999999999995,.48669999999999997,63.19,0,"1"
.006900000000000001,.49589999999999995,60.29,0,"1"
.0067,.5052,52.79,0,"1"
.0065,.5144,44.57,0,"1"
.0063,.5236000000000001,39.15,0,"1"
.0060999999999999995,.5327999999999999,37.16,0,"1"
.0058,.5421,37.08,0,"1"
.0056,.5512999999999999,38.29,0,"1"
.0054,.5605,41.85,0,"1"
.0052,.5698,47.89,0,"1"
.005,.579,53.97,0,"1"
.508,.364,34.54,1,"2"
.49910000000000004,.3639,35.31,1,"2"
.4903,.3639,36.65,1,"2"
.4814,.3638,38.55,1,"2"
.4725,.36369999999999997,41.35,1,"2"
.4636,.36360000000000003,44.85,1,"2"
.45480000000000004,.36360000000000003,47.53,1,"2"
.44589999999999996,.3635,48.17,1,"2"
.437,.3634,47.8,1,"2"
.42810000000000004,.3634,48.43,1,"2"
.4193,.3633,49.9,1,"2"
.4104,.36319999999999997,49.82,1,"2"
.4015,.36310000000000003,47.08,1,"2"
.3926,.36310000000000003,43.8,1,"2"
.38380000000000003,.363,43.04,1,"2"
.37489999999999996,.3629,45.84,1,"2"
.366,.3629,50.87,1,"2"
.35710000000000003,.3628,56.25,1,"2"
.3483,.36269999999999997,61.21,1,"2"
.3394,.36260000000000003,66.34,1,"2"
.3305,.36260000000000003,72.42,1,"2"
.3216,.3625,78.57,1,"2"
.3128,.3624,81.7,1,"2"
.3039,.3624,78.77,1,"2"
.295,.3623,70.03,1,"2"
.2861,.36219999999999997,59.64,1,"2"
.2773,.36210000000000003,52.59,1,"2"
.26839999999999997,.36210000000000003,51.14,1,"2"
.2595,.362,54.17,1,"2"
.2506,.3619,58.67,1,"2"
.24180000000000001,.3619,61.2,1,"2"
.2329,.3618,59.47,1,"2"
.224,.36169999999999997,54.11,1,"2"
.21509999999999999,.36160000000000003,48.58,1,"2"
.2063,.36160000000000003,46.04,1,"2"
.1974,.3615,46.55,1,"2"
.1885,.3614,47.81,1,"2"
.17959999999999998,.3614,47.7,1,"2"
.1708,.3613,45.63,1,"2"
.16190000000000002,.36119999999999997,42.3,1,"2"
.153,.36110000000000003,39.12,1,"2"
.1441,.36110000000000003,37.37,1,"2"
.1353,.361,37.29,1,"2"
.1264,.3609,38.03,1,"2"
.1175,.3609,38.47,1,"2"
.10859999999999999,.3608,37.99,1,"2"
.0998,.36069999999999997,36.64,1,"2"
.09090000000000001,.36060000000000003,34.87,1,"2"
.082,.36060000000000003,33.18,1,"2"
.0731,.3605,31.8,1,"2"
.0643,.3604,30.7,1,"2"
.0554,.3604,29.81,1,"2"
.0465,.3603,29.18,1,"2"
.0376,.36019999999999996,29.17,1,"2"
.0288,.36010000000000003,30.15,1,"2"
.019899999999999998,.36010000000000003,32.02,1,"2"
.011,.36,33.96,1,"2"
.327,.567,57.24,1,"3"
.318,.5672,56.28,1,"3"
.309,.5674,54.11,1,"3"
.3,.5676,51.51,1,"3"
.291,.5678,49.33,1,"3"
.282,.568,47.23,1,"3"
.273,.5682,44.33,1,"3"
.264,.5684,41.38,1,"3"
.255,.5686,40.92,1,"3"
.246,.5688,44.18,1,"3"
.237,.569,48.51,1,"3"
.228,.5692,49.37,1,"3"
.219,.5694,44.84,1,"3"
.21,.5696,37.43,1,"3"
.201,.5698,31.26,1,"3"
